"","FnGroup","PlotGroup","Name","B_WPA","BrelPP_WPA","B_EPA.APS","BrelPP_EPA.APS","B_EPA.APN","BrelPP_EPA.APN","B_AOS","BrelPP_AOS","B_CIA","BrelPP_CIA","B_CIS","BrelPP_CIS","B_CIN","BrelPP_CIN"
"147",6,6,"Other_shelfish",NA,NA,NA,NA,NA,NA,2.290895,0.361873629011066,NA,NA,NA,NA,NA,NA
"148",6,6,"Zoobenthos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0.949554896142433,NA,NA
"149",7,7,"Benthic Decapod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,0.00436328730065231
"150",7,7,"Benthic fish",NA,NA,0.1985614,0.0780598368130518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",7,7,"G gibberifrons",NA,NA,NA,NA,1.2,0.00413196959972233,NA,NA,NA,NA,NA,NA,NA,NA
"152",7,7,"L_demersal",0.009450475,0.00595556654769744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",7,7,"Large deep-sea demersal fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.0086053412462908,NA,NA
"154",7,7,"Large Demersals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0285,0.00327246547548923
"155",7,7,"Large Nototheniid Demersals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00955,0.00109656299266394
"156",7,7,"M_demersal",0.00966583,0.00609128047042401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",7,7,"N. rossi",NA,NA,NA,NA,0.138,0.000475176503968068,NA,NA,NA,NA,NA,NA,NA,NA
"158",7,7,"On-shelf fish",NA,NA,NA,NA,5.25,0.0180773669987852,NA,NA,NA,NA,NA,NA,NA,NA
"159",7,7,"Other demersal fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.298,0.0385163204747774,NA,NA
"160",7,7,"Rays",NA,NA,NA,NA,NA,NA,0.007100262,0.00112156933288927,NA,NA,NA,NA,NA,NA
"161",7,7,"Rock_cods",NA,NA,NA,NA,NA,NA,0.42970064,0.0678762361370458,NA,NA,NA,NA,NA,NA
"162",7,7,"S_demersal",0.092786845,0.0584730640680376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
